county,team,pop
38047,DEN,0
38047,ENG,4
38047,FRA,0
38047,GER,10
38047,HTI,0
38047,ITA,0
38047,JAM,0
38047,JPN,0
38047,KOR,0
38047,MAR,0
38047,NED,0
38047,NZL,0
38047,NGA,0
38047,NOW,0
38047,PAN,0
38047,PHL,0
38047,POR,0
38047,IRL,0
38047,ZAF,0
38047,ESP,0
38047,SWE,0
38047,SUI,0
38047,VNM,0
38047,ZMB,10
35019,ARG,70
35019,AUS,0
35019,BRA,0
35019,CAN,0
35019,CHN,0
35019,COL,0
35019,CRC,0
35019,DEN,0
35019,ENG,0
35019,FRA,0
35019,GER,23
35019,HTI,0
35019,ITA,0
35019,JAM,0
35019,JPN,0
35019,KOR,0
35019,MAR,0
35019,NED,0
35019,NZL,0
35019,NGA,0
35019,NOW,0
35019,PAN,0
35019,PHL,0
35019,POR,0
35019,IRL,0
35019,ZAF,0
35019,ESP,3
35019,SWE,0
35019,SUI,0
35019,VNM,0
35019,ZMB,13
22113,ARG,0
22113,AUS,0
22113,BRA,50
22113,CAN,33
22113,CHN,14
22113,COL,28
22113,CRC,0
22113,DEN,0
22113,ENG,12
22113,FRA,0
22113,GER,43
22113,HTI,0
22113,ITA,0
22113,JAM,0
22113,JPN,6
22113,KOR,0
22113,MAR,0
22113,NED,9
22113,NZL,0
22113,NGA,0
22113,NOW,0
22113,PAN,0
22113,PHL,55
22113,POR,0
22113,IRL,2
22113,ZAF,0
22113,ESP,0
22113,SWE,0
22113,SUI,0
22113,VNM,616
22113,ZMB,250
29023,ARG,0
29023,AUS,0
29023,BRA,0
29023,CAN,20
29023,CHN,7
29023,COL,0
29023,CRC,0
29023,DEN,0
29023,ENG,18
29023,FRA,0
29023,GER,43
29023,HTI,0
29023,ITA,0
29023,JAM,0
29023,JPN,0
29023,KOR,41
29023,MAR,0
29023,NED,0
29023,NZL,0
29023,NGA,0
29023,NOW,20
29023,PAN,66
29023,PHL,9
29023,POR,0
29023,IRL,0
29023,ZAF,0
29023,ESP,0
29023,SWE,0
29023,SUI,0
29023,VNM,0
29023,ZMB,154
13073,ARG,20
13073,AUS,15
13073,BRA,9
13073,CAN,266
13073,CHN,571
13073,COL,161
13073,CRC,62
13073,DEN,0
